index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
300,twine,,"$1,000,000 to $9,999,999",301,25,,,,,
301,university of illinois,Public Administration,"Over $1,000,000,000",302,25,,,,,
302,ukg,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",303,25,,,,,
303,travelers companies,Insurance,"Over $1,000,000,000",304,25,,,,,
304,uc san diego,Educational Services,"Over $1,000,000,000",305,25,,,,,
305,ministry of home affairs singapore,Public Administration,"Over $1,000,000,000",306,25,,,,,
306,eaton,Manufacturing,"Over $1,000,000,000",307,25,,,,,
307,stanley black decker,Manufacturing,"Over $1,000,000,000",308,25,,,,,
308,upskillist com,Banking and Financial Services,"$1,000,000 to $9,999,999",309,25,,,,,
309,public service division,Public Administration,"$200,000,000 to $499,999,999",310,25,,,,,
310,teradata,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",311,25,,,,,
311,almabetter,Educational Services,"$10,000,000 to $49,999,999",312,24,,,,,
312,netapp,"Professional, Scientific and Technical Services","Over $1,000,000,000",313,24,,,,,
313,phdata,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",314,24,,,,,
314,maersk,Transportation and Warehousing,"Over $1,000,000,000",315,24,,,,,
315,zurich insurance,Insurance,"Over $1,000,000,000",316,24,52.0,53.0,,,
316,vmly r france,"Professional, Scientific and Technical Services","$50,000,000 to $99,999,999",317,24,,,,,
317,koch industries,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",318,24,,,,,
318,itau unibanco,Banking and Financial Services,"Over $1,000,000,000",319,24,212.0,31.0,,,
319,university of colorado boulder,Educational Services,"Over $1,000,000,000",320,24,,,,,
320,krazy mantra of companies,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999",321,24,,,,,
321,spelman college,Educational Services,"$100,000,000 to $199,999,999",322,24,,,,,
