indexname,gvkey,tic,companyname
S&P 500,144009,WTW,Willis Towers Watson Public Limited Company
S&P 500,015044,WDAY,"Workday, Inc."
S&P 500,149318,WYNN,"Wynn Resorts, Limited"
S&P 500,007977,XEL,Xcel Energy Inc.
S&P 500,189491,XYL,Xylem Inc.
S&P 500,065417,YUM,"Yum! Brands, Inc."
S&P 500,024405,ZBRA,Zebra Technologies Corporation
S&P 500,144559,ZBH,"Zimmer Biomet Holdings, Inc."
S&P 500,013721,ZTS,Zoetis Inc.
S&P 500,114524,EBAY,eBay Inc.
S&P 500,178015,LULU,lululemon athletica inc.
